Total_Review,review_type,encoded_review,preprocessed_review
  I have to say that the stuff was extremely nice and helpful especially madame Celine She was very patient and helpful during my stay ,Good_review,1,stuff extremely nice helpful especially madame celine patient helpful stay
  Lovely breakfast lots to choose from Staff were lovely and upgraded us ,Good_review,1,lovely breakfast lots choose staff lovely upgraded
  The hotel has an air of quiet efficiency and is located in a great and convenient place ,Good_review,1,hotel air quiet efficiency located great convenient place
  Nice and good location ,Good_review,1,nice good location
  Our room was lovely and clean We liked the bar outside seating area and food served up to 11pm ,Good_review,1,room lovely clean liked bar outside seating area food served pm
 Could have been told what floor my room was and about the restaurants in the hotel No literature in room with information of the facilities of the hotel   I was able to link my phone trough the television and play my music There was a Bose speaker in the bathroom it was heaven as I could have a relaxing bath and listen to my music ,Good_review,1,told floor room restaurants hotel literature room information facilities hotel able link phone trough television play music bose speaker bathroom heaven relaxing bath listen music
 Staff at front desk was mechanical Entrance to hotel was initially difficult to locate   Near to Milan Centrale Station Nice restaurants within 5 minutes walk ,Good_review,1,staff desk mechanical entrance hotel initially difficult locate near milan centrale station nice restaurants minutes walk
 Nothing  The complimentary tea and coffee service was a lovely touch The cocktails were beautiful the decor and breakfast were perfect and the staff were exceptional We couldn t find a single flaw with this hotel ,Good_review,1,complimentary tea coffee service lovely touch cocktails beautiful decor breakfast perfect staff exceptional couldn find single flaw hotel
 Compact ensuite  Good location Tube station very close Great coffee ,Good_review,1,compact ensuite good location tube station close great coffee
 No pool Bar closed most of the time and weekends and closes early Bar food mediocre   Simple Well located Just what you need ,Good_review,1,pool bar closed time weekends closes early bar food mediocre simple located need
 It did get a little noisy at night later in the week from voices carrying outside especially towards the weekend which was surprising since the whole area is pretty empty after 7pm on weekdays and pretty empty the whole time on the weekend a bit like how Wall Street gets in New York Also it was pretty hot at night if you don t ask them to keep the air conditioning on they turn it off every night in your room   I m 25 this was my first business trip alone and my first time to London I was a guest here for 8 days and my office was right around the corner It was a convenient location near a lot of tube stops it was very clean bed was comfortable workout area was clean and I loved the free printing for my plane ticket and free water bottles Overall I had a great experience,Good_review,1,little noisy night later week voices carrying outside especially weekend surprising area pretty pm weekdays pretty time weekend bit like wall street gets new york pretty hot night don ask air conditioning turn night room business trip time london guest days office right corner convenient location near lot tube stops clean bed comfortable workout area clean loved free printing plane ticket free water bottles overall great experience
 Nothing  Everything was perfect,Good_review,1,perfect
 Little Day light in the room   Perfect position,Good_review,1,little day light room perfect position
 We didn t have a view from our room  Bedroom,Good_review,1,didn view room bedroom
  Friendly staff Comfortable big rooms ,Good_review,1,friendly staff comfortable big rooms
 Brekfast was a bit expensive   Breakfast was copious the room was clean and spacious near to the Camp Nou and Collblanc metro station is in 5 min by walk Lots of restaurants Staff was very friendly ,Good_review,1,brekfast bit expensive breakfast copious room clean spacious near camp nou collblanc metro station min walk lots restaurants staff friendly
 The room is very small I expected more from a 4 stars hotels it seems like 3 stars   The location to Metro is very good,Bad_review,0,room small expected stars hotels like stars location metro good
 The room was small but to be expected in the center of paris   Staff and location were incredible ,Good_review,1,room small expected center paris staff location incredible
 Minor quibble Nespresso pods were all decaf Brand design made it difficult to identify caffeinated pods though myself and a staff member did try   Location modern design and decour nespresso machine Large comfortable room with great shower Very short walking distance to bus and Metro stops with central links Across the street from Hyde Park and very pleasant walk to Museum district ,Good_review,1,minor quibble nespresso pods decaf brand design difficult identify caffeinated pods staff member try location modern design decour nespresso machine large comfortable room great shower short walking distance bus metro stops central links street hyde park pleasant walk museum district
 Left very bad ,Good_review,1,left bad
 Pillows were like bricks and hard to make ourselves understood when we asked for softer pillows Eventually concierge was helpful in getting better ones but still not very comfortable   Very nice hotel in great location Room nice but would have expected better view in a deluxe room and more space ,Good_review,1,pillows like bricks hard understood asked softer pillows eventually concierge helpful getting better ones comfortable nice hotel great location room nice expected better view deluxe room space
 There was a quilt on our bed but no sheet and as the room was warm the quilt was too much but there was no sheet so it was all or nothing   Excellent views Our views were over the marina at Kathherine Docks Breakfast had an excellent choice to cover all nationalities I couldn t fault it The staff were very attentive and couldn t do enough to help us Our room was large and airy with blackout curtains and with the double glazing we had an excellent nights sleep ,Good_review,1,quilt bed sheet room warm quilt sheet excellent views views marina kathherine docks breakfast excellent choice cover nationalities couldn fault staff attentive couldn help room large airy blackout curtains double glazing excellent nights sleep
 Lack of a bar  Staff are brilliant ,Good_review,1,lack bar staff brilliant
 The toilet could have been bigger   The hotel offers the best breakfast we ever had The wonderfully decorated salon and the afternoon tea and cakes allow for a perfectly cozy hotel stay The city guide curated by the owner has provided us with excellent dinner suggestions ,Good_review,1,toilet bigger hotel offers best breakfast wonderfully decorated salon afternoon tea cakes allow perfectly cozy hotel stay city guide curated owner provided excellent dinner suggestions
 Lobby was not pretty   Perfect room and bed ,Good_review,1,lobby pretty perfect room bed
  The location of the hotel is superb for Wembley stadium it is 5mins walk away if that plus there is a great shopping outlet right outside the hotel with plenty of places to eat drink shop ,Good_review,1,location hotel superb wembley stadium 5mins walk away plus great shopping outlet right outside hotel plenty places eat drink shop
  excellent staff courteous helpful,Good_review,1,excellent staff courteous helpful
  Beautiful rooms We had lovely view of the town especially with night lights it looks beautiful Hotel Restaurant is nice ,Good_review,1,beautiful rooms lovely view town especially night lights looks beautiful hotel restaurant nice
 More coffee facilities tissue in the room No slippers  The view from the room was very good,Good_review,1,coffee facilities tissue room slippers view room good
 The only regret i have was buying a 3 day tram ticket because its location is basically near everything so I walked a lot Also the bathroom entrance is glass so it might be a little akward if youre travelling with others  Everything is right next to it the bars clubs restaurants and coffee shops The hotel room was nice and service was good ,Good_review,1,regret buying day tram ticket location basically near walked lot bathroom entrance glass little akward travelling right bars clubs restaurants coffee shops hotel room nice service good
  Staff was very helpful location was ideal ,Good_review,1,staff helpful location ideal
 The breakfast eggs were lukewarm  ,Good_review,1,breakfast eggs lukewarm
 U bahn is not close and you are dependent upon strassenbahn or bus 30 plus minute walk to centre   Very good value,Good_review,1,bahn close dependent strassenbahn bus plus minute walk centre good value
 you can near the metro in the room   Good location,Bad_review,0,near metro room good location
 Bathrooms are very small especially the shower though the products in there were lovely Nowhere to put suitcases in the room so had to walk over them to get to the bed but London hotel rooms are always small   Very cool hotel Lovely garden out the back for breakfast and drinks Peaceful and quiet inside despite being on a very busy road Position fantastic for Earls Court Tube and we could walk to Kensington Gardens Many inexpensive restaurants nearby Happy to store our luggage we left cases for a week while on a quick trip to Scandinavia then returned to the hotel for 2 more nights Would definitely recommend the Rockwell to friends ,Good_review,1,bathrooms small especially shower products lovely suitcases room walk bed london hotel rooms small cool hotel lovely garden breakfast drinks peaceful quiet inside despite busy road position fantastic earls court tube walk kensington gardens inexpensive restaurants nearby happy store luggage left cases week quick trip scandinavia returned hotel nights definitely recommend rockwell friends
 I foun hair on the bed and in the toilet also in the shower The E key wouldn t let me in every single time i left the room i had to go back to reception to change the key which didn t work so had to go back again to be accompanied by member of the stuff to get in The smell of Canabiese all over the night was overwhelming Also on arrival at hotel entrance was quite confusing one building several hotels and ringing the armadi hotel bell no one answered had to wait for some other people to come out of the building for me to get in Was crazy night didnt like it at alll  I foun hair on the bed and in the toilet also in the shower The E key wouldn t let me in every single time i left the room i had to go back to reception to change the key which didn t work so had to go back again to be accompanied by member of the stuff to get in The smell of Canabiese all over the night was overwhelming,Bad_review,0,foun hair bed toilet shower key wouldn let single time left room reception change key didn work accompanied member stuff smell canabiese night overwhelming arrival hotel entrance confusing building hotels ringing armadi hotel bell answered wait people come building crazy night nt like alll foun hair bed toilet shower key wouldn let single time left room reception change key didn work accompanied member stuff smell canabiese night overwhelming
  Nice modern comfortable room Lovely view Heated towel racks were nice Great location too ,Good_review,1,nice modern comfortable room lovely view heated towel racks nice great location
 On the last floor I had a little discomfort with air conditioning system noise   Great staff Instead of standard room we got delux ,Good_review,1,floor little discomfort air conditioning system noise great staff instead standard room got delux
 over priced bar  Very helpful friendly staff,Good_review,1,priced bar helpful friendly staff
 The shower the pillows nothing to do in surrounding area Nothing even in hotel   Bed was comfy No noise ,Bad_review,0,shower pillows surrounding area hotel bed comfy noise
 Extra 4 95 for full breakfast  Staff were friendly,Good_review,1,extra breakfast staff friendly
 No free car parking   Location excellent for visiting excel centre ,Good_review,1,free car parking location excellent visiting excel centre
 Wifi went out TV went out No ice machine they made beds but didn t clean the room Breakfast was terrible and room service was twice the amount of what you could get right across the street   When asked they helped but didn t go out of their way to make you feel welcome Location was great ,Bad_review,0,wifi went tv went ice machine beds didn clean room breakfast terrible room service twice right street asked helped didn way feel welcome location great
 Cleaning of suite   Offered a beautiful upgrade Service was professional ,Good_review,1,cleaning suite offered beautiful upgrade service professional
 I can t fault it it is a wonderful hotel   Staff were very friendly they surprised my wife and me with a lovely gesture The breakfast was fantastic room spacious and fitting of a 5 hotel the Roman bathroom a nice touch Overall great experience ,Good_review,1,fault wonderful hotel staff friendly surprised wife lovely gesture breakfast fantastic room spacious fitting hotel roman bathroom nice touch overall great experience
  The atmosphere of the hotel was absolutely unique Exciting vibrant and entertaining ,Good_review,1,atmosphere hotel absolutely unique exciting vibrant entertaining
 Small reception area can get a littlie bit crowded if busy  Hospitality at its highest level modern rooms good location and most importantly great value,Good_review,1,small reception area littlie bit crowded busy hospitality highest level modern rooms good location importantly great value
 Very small and hot room Everything is paid extra breakfast spa parking Really not worth the money for a 4 hotel   The spa when not too crowded Position close to metro station ,Bad_review,0,small hot room paid extra breakfast spa parking worth money hotel spa crowded position close metro station
  Good location with a light airy room Nice staff ,Good_review,1,good location light airy room nice staff
  Staff attitude,Good_review,1,staff attitude
  Extraordinary hotel An experience absolutely divine The staff are second to none A dream weekend I will never forget ,Good_review,1,extraordinary hotel experience absolutely divine staff dream weekend forget
 Perfect as is   Fantastic position for us excellent service impressive room and decor throughout A delight ,Good_review,1,perfect fantastic position excellent service impressive room decor delight
 Nothing really negative Rooms need stronger lighting and sockets near mirror in bedroom   Great hotel on the outskirts of the city centre Very friendly and helpful staff Very nicely decorated and comfortable beds,Good_review,1,negative rooms need stronger lighting sockets near mirror bedroom great hotel outskirts city centre friendly helpful staff nicely decorated comfortable beds
 Smallish bathroom  The breakfast ,Good_review,1,smallish bathroom breakfast
 bed was a little hard as too were pillows outside our room was the service lift for staff facilities a little noisy could do with hot chocolate in the rooms as well as tea coffee  perfect for the west end beautiful hotel would stay again just not in same room staff excellent very clean and fabulous idea with the shutters lovely shower room all round good experience,Good_review,1,bed little hard pillows outside room service lift staff facilities little noisy hot chocolate rooms tea coffee perfect west end beautiful hotel stay room staff excellent clean fabulous idea shutters lovely shower room round good experience
 When walking in no service Impossible to have the room at a good temperature no AC in winter The establishment needs refreshing The cleaning service was not to standard missing floor mat in the bathroom on the second day and first day towel was still there along side the new ones   You have everything under one roof bar restaurant,Bad_review,0,walking service impossible room good temperature ac winter establishment needs refreshing cleaning service standard missing floor mat bathroom day day towel new ones roof bar restaurant
 poor untrained reception staff room not ready on arrival poor room service no service then excuses made that meal was not ordered 1 5 hour wait room was not cleaned after 1st day etc summary rip off London style not worth 5 stars  good location,Bad_review,0,poor untrained reception staff room ready arrival poor room service service excuses meal ordered hour wait room cleaned day etc summary rip london style worth stars good location
 The air conditioning in the room was very loud and couldn t sleep through it and without it the room was very warm   Staff VERY friendly and professional ,Good_review,1,air conditioning room loud couldn sleep room warm staff friendly professional
  Location and friendliness of the staff Also 24 hour service ,Good_review,1,location friendliness staff hour service
 Worst check in I have had 30 mins and then after paying for our family s three rooms my son attempted to check in to be told we need payment so back to reception again service in bar at night very poor the lighting in our room was not great and the controls seem to have a mind of their own  Good location rooms a good size we had a studio room so plenty of space,Bad_review,0,worst check mins paying family rooms son attempted check told need payment reception service bar night poor lighting room great controls mind good location rooms good size studio room plenty space
 Staff should describe the hotel services at check in We found out by accident about transportation passes museum tix breakfast options Dark lobby and restaurant Slow service at restaurant   If you need to have parking this is a great hotel you get private parking at a good price choose the Stay Park option and a great location 15 min away from all the must sees in Amsterdam taking Tram 2 at the front door Buy transport passes at hotel 7 5E per day and also museum tickets Room was spacious and clean Best shower ever Excellent WiFi The hotel is in one of the best areas of the city and there are restaurants nearby on the tram route Quick access to highway ,Good_review,1,staff describe hotel services check found accident transportation passes museum tix breakfast options dark lobby restaurant slow service restaurant need parking great hotel private parking good price choose stay park option great location min away sees amsterdam taking tram door buy transport passes hotel 5e day museum tickets room spacious clean best shower excellent wifi hotel best areas city restaurants nearby tram route quick access highway
 The bed was a bit small  The location of the hotel,Good_review,1,bed bit small location hotel
 My room was an attic room and very small My husband is 6ft 6 and could not fit in the room without hitting his head on the ceiling shower was tiny too   The hotel is based in a fab area walking distance to a lot of places and also to 3 tube stops It was very clean and had a great breakfast ,Good_review,1,room attic room small husband ft fit room hitting head ceiling shower tiny hotel based fab area walking distance lot places tube stops clean great breakfast
  A very comfortable stay in a good location with friendly and helpful staff,Good_review,1,comfortable stay good location friendly helpful staff
 W3 is by no means a good location But ok We were a family of six and upon arrival were put into 2 far away rooms on the 6th floor where upon our entry the temperature was above 28 C The a c was faulty in both rooms Outside it was noisy so opening the window only brought it down a little whilst the room has gotten too noisy In the other room to which we were relocated the shower mixer only had either a hot or a very hot water The receptionist Shakiri I think was her name was massively unhappy that I bothered her with a request to update the keys as they were not working She had not been taking care of her nail polish and looked very very poor and unpleasant   The breakfast was a good value Starbucks on site That s it really,Bad_review,0,w3 means good location ok family arrival far away rooms floor entry temperature faulty rooms outside noisy opening window brought little whilst room gotten noisy room relocated shower mixer hot hot water receptionist shakiri think massively unhappy bothered request update keys working taking care nail polish looked poor unpleasant breakfast good value starbucks site
 Nothing  Loved it thanks,Good_review,1,loved thanks
 Nothing   Everything about this hotel is pure class Only enhanced by the friendly helpful staff Room was exquisite as is the attention to detail bed was soooo comfy breakfast is superb,Good_review,1,hotel pure class enhanced friendly helpful staff room exquisite attention detail bed soooo comfy breakfast superb
 they don t seem to give enough tea have to always ask the space between getting into the shower and toilet is ridiculous   I not sure what I liked,Bad_review,0,don tea ask space getting shower toilet ridiculous sure liked
 breakfast when having to use one of the other dining rooms away form the main dining room food was warm but not hot  the hotel is in an excellent location and all the staff were very helpful,Good_review,1,breakfast having use dining rooms away form main dining room food warm hot hotel excellent location staff helpful
  Brand New modern and high tech hotel nice colors and decoration Hotel of a new era type ,Good_review,1,brand new modern high tech hotel nice colors decoration hotel new era type
  Perfect location Large quiet rooms Great breakfast Staff was perfect in every way ,Good_review,1,perfect location large quiet rooms great breakfast staff perfect way
 Room a bit impractical   Gorgeous property fantastic design Peaceful clean and quiet ,Good_review,1,room bit impractical gorgeous property fantastic design peaceful clean quiet
 The room carpet was covered in stains and the room had a smell   There were lots of choice at breakfast,Bad_review,0,room carpet covered stains room smell lots choice breakfast
 Breakfast was cold prices were high   Shower bath beds and staff were excellent ,Good_review,1,breakfast cold prices high shower bath beds staff excellent
 I ve never been given such a tiny room you couldn t walk between the bed and the wall without turning sideways There was no space to even put a suitcase flat on the floor The hotel was noisy you could hear machine noises and all the sounds of people coming and going some of the fittings were dirty mould and all of it was in need of serious upgrade This should not be 4 and should not have a high rating on Booking com it is very hard not to be sceptical of the 8 reviews of this hotel   Very pleasant staff That s about it ,Bad_review,0,ve given tiny room couldn walk bed wall turning sideways space suitcase flat floor hotel noisy hear machine noises sounds people coming going fittings dirty mould need upgrade high rating booking hard sceptical reviews hotel pleasant staff
  Very nice room and comfy bed,Good_review,1,nice room comfy bed
 Nothing that I didn t like  Everything Stayed here 4 times now Will be back again soon,Good_review,1,didn like stayed times soon
 The bar was closed  The room was fantastic The facilities were great and the d cor was superb ,Good_review,1,bar closed room fantastic facilities great cor superb
 We booked a premium room However the room we got did not match with the room description no French connection for example Although the room was spacious it had a bit an outdated look Because of a conference the expensive breakfast was not in the usual room which is really nice and relaxed to sit but in a much darker and smaller room Also the bar was sometimes very loud because of a reception of the conference   The location ideal in the middle of the city center The hotel has a nice bar brasserie and restaurant and the staff is very helpful ,Good_review,1,booked premium room room got match room description french connection example room spacious bit outdated look conference expensive breakfast usual room nice relaxed sit darker smaller room bar loud reception conference location ideal middle city center hotel nice bar brasserie restaurant staff helpful
  Excellent fabulous outstanding,Good_review,1,excellent fabulous outstanding
 The rooms are to small ,Good_review,1,rooms small
 Tea served at breakfast out of thermos jug did not have a very pleasant taste and was not very hot Only stayed one night so room was comfortable my only comment would be that the bathroom shower needed upgrading   Location Had a good deal so very good value for money for London Hotels and theatre break Good choice for breakfast and staff very friendly ,Good_review,1,tea served breakfast thermos jug pleasant taste hot stayed night room comfortable comment bathroom shower needed upgrading location good deal good value money london hotels theatre break good choice breakfast staff friendly
 Policy of in advance payment for all days   Very polite personnel Very clean,Good_review,1,policy advance payment days polite personnel clean
  We are repeat client who have enjoyed this property every time we stayed there Staff cleanliness breakfast etc ,Good_review,1,repeat client enjoyed property time stayed staff cleanliness breakfast etc
  Reception staff were so friendly and very helpful with advice and directions Breakfast was excellent Beds very comfortable and spotlessly clean ,Good_review,1,reception staff friendly helpful advice directions breakfast excellent beds comfortable spotlessly clean
